_is_concert,song_name_clean,stream_cnt,uniq_users,stream_cnt_ratio,uniq_users_ratio,stream_cnt_total,uniq_users_total,days_diff_song_concert,is_concert
FALSE,4號病房,6667,3214,0.005803321,0.028359658,1148825,113330,343,0
FALSE,週末夜驚魂,6373,3142,0.005547407,0.027724345,1148825,113330,343,0
FALSE,倒帶人生,6805,3005,0.005923444,0.026515486,1148825,113330,116,0
FALSE,Singing In The Rain,5966,2770,0.005193132,0.024441895,1148825,113330,115,0
TRUE,想念,6072,2747,0.0052854,0.024238948,1148825,113330,756,1
FALSE,來不及,5566,2726,0.00484495,0.024053649,1148825,113330,116,0
TRUE,不換,5546,2672,0.004827541,0.023577164,1148825,113330,756,1
TRUE,耳朵,6411,2668,0.005580484,0.023541869,1148825,113330,1302,1
TRUE,早開的晚霞,6405,2568,0.005575262,0.02265949,1148825,113330,756,1
FALSE,Everyday,4693,2243,0.004085043,0.019791759,1148825,113330,1092,0
FALSE,關於我,4168,2216,0.003628055,0.019553516,1148825,113330,1302,0
FALSE,Syrup,4134,2088,0.003598459,0.018424071,1148825,113330,333,0
FALSE,開到荼蘼,4380,1980,0.003812591,0.017471102,1148825,113330,1492,0
FALSE,As Time Goes By,4073,1886,0.003545362,0.016641666,1148825,113330,115,0
FALSE,Mercy  Mercy  Me,4207,1874,0.003662002,0.01653578,1148825,113330,116,0
TRUE,唐人街,4404,1838,0.003833482,0.016218124,1148825,113330,1302,1
FALSE,Untitled,3314,1832,0.002884687,0.016165181,1148825,113330,333,0
FALSE,聖誕歌,3555,1815,0.003094466,0.016015177,1148825,113330,333,0
FALSE,Yesterday's News,3558,1630,0.003097077,0.014382776,1148825,113330,115,0
FALSE,Lovely Day,3211,1558,0.00279503,0.013747463,1148825,113330,115,0
FALSE,我要我們在一起,4598,1550,0.00400235,0.013676873,1148825,113330,1501,0
FALSE,Waltz for Koop,3052,1510,0.002656627,0.013323921,1148825,113330,116,0
FALSE,Fly my way,2998,1478,0.002609623,0.01304156,1148825,113330,756,0
FALSE,解High人,2996,1431,0.002607882,0.012626842,1148825,113330,1302,0
FALSE,How Deep Is Your Love,2882,1368,0.00250865,0.012070943,1148825,113330,115,0
FALSE,No Surprises,2608,1354,0.002270146,0.01194741,1148825,113330,116,0
FALSE,I Can't Make You Love Me,2563,1346,0.002230975,0.01187682,1148825,113330,115,0
TRUE,另一個自己,2938,1340,0.002557396,0.011823877,1148825,113330,1302,1
FALSE,對不起謝謝,2822,1068,0.002456423,0.009423807,1148825,113330,1505,0
TRUE,羅密歐與茱麗葉,1887,920,0.001642548,0.008117886,1148825,113330,1078,1
FALSE,Darling,1276,714,0.0011107,0.006300185,1148825,113330,1082,0
FALSE,躺在你的衣櫃,1708,708,0.001486736,0.006247243,1148825,113330,1502,0
FALSE,對你愛不完,1307,577,0.001137684,0.005091326,1148825,113330,1500,0
FALSE,查無此人,1107,483,0.000963593,0.00426189,1148825,113330,1495,0
FALSE,Love Fool,896,439,0.000779927,0.003873643,1148825,113330,1499,0
FALSE,STAND BY ME,809,421,0.000704198,0.003714815,1148825,113330,1498,0
FALSE,狂人日記,817,415,0.000711161,0.003661872,1148825,113330,1494,0
FALSE,請說/慢一點,799,367,0.000695493,0.003238331,1148825,113330,1491,0
FALSE,OH MY LOVE,719,352,0.000625857,0.003105974,1148825,113330,1494,0
FALSE,The Hindu Times,588,327,0.000511827,0.002885379,1148825,113330,1078,0
FALSE,First of the gang to die,587,304,0.000510957,0.002682432,1148825,113330,1078,0
TRUE,美妙生活,6,2,5.22E-06,1.76E-05,1148825,113330,756,1
FALSE,天真有邪,638957,174946,0.172665975,0.434604177,3700538,402541,168,0
FALSE,全世界誰傾聽你,259204,65630,0.07004495,0.163039293,3700538,402541,61,0
FALSE,長大的童話,121604,64987,0.032861168,0.16144194,3700538,402541,5,0
FALSE,寵兒,148222,40557,0.040054176,0.10075247,3700538,402541,166,0
FALSE,熱血無賴,102174,36347,0.02761058,0.090293908,3700538,402541,183,0
FALSE,我已經敢想你,108511,29767,0.029323034,0.073947747,3700538,402541,166,0
FALSE,讓世界毀滅,76688,23155,0.020723473,0.057522091,3700538,402541,166,0
