is_concert,song_name_clean,uu.other,pc.other,avg.other,uu.core,pc.core,avg.core,r,u,a
False,馬德里不思議,32936,67421,2.047030604809327,4298,12841,2.9876686831084225,20.92045398975869,20.8934896899672,0.0269642997914948
True,I'm Not Yours - feat.安室奈美惠NAMIE AMURO,28509,63834,2.2390823950331478,6966,24217,3.476457077232271,20.73830040427176,20.701793883599677,0.0365065206720859
False,詩人漫步,30333,55896,1.8427455246760955,4210,12136,2.882660332541568,20.63447538009771,20.59671196700326,0.0377634130944518
True,我,29472,59404,2.0156080347448424,4297,13201,3.0721433558296485,20.540979044829797,20.50747708846761,0.0335019563621836
True,日不落,27166,57930,2.132444967974674,4004,13896,3.4705294705294705,20.23841027205668,20.19367044813728,0.0447398239193968
False,無言以對,22334,46386,2.076923076923077,4943,14683,2.970463281408052,19.700441843149537,19.67629150940592,0.0241503337436193
False,單身公害,21028,41989,1.9968137721133727,2579,7116,2.759208995734781,19.143211208059157,19.12348583872421,0.019725369334942
False,馬賽克,18470,32692,1.770005414185165,2528,7487,2.961629746835443,18.731199431120128,18.68122207055131,0.0499773605688172
False,花蝴蝶,16601,31426,1.893018492861876,4132,13408,3.244917715392062,18.688350952973263,18.633572097287825,0.0547788556854409
True,美杜莎,15267,32043,2.0988406366673216,5153,18174,3.526877547059965,18.627390544050336,18.576580462519384,0.0508100815309524
True,惡之必要,14422,30402,2.108029399528498,5685,21543,3.7894459102902376,18.583669399969004,18.518797794420912,0.0648716055480915
True,布拉格廣場,16768,34915,2.0822399809160306,3564,10236,2.872053872053872,18.57992120151285,18.5604157829166,0.0195054185962487
False,聽說愛情回來過,18287,31263,1.7095751080002188,1941,5100,2.627511591962905,18.57607139640129,18.54123076421406,0.0348406321872312
False,一個人,17268,28580,1.6550845494556403,2072,5726,2.7635135135135136,18.42327826365507,18.37370906703577,0.0495691966193025
True,你怎麼連話都說不清楚,16885,32439,1.921172638436482,2510,7019,2.796414342629482,18.41086413629456,18.38428368326979,0.0265804530247717
False,你睡醒再看,13590,27448,2.01972038263429,5322,18285,3.435738444193912,18.343719095376915,18.290483294934404,0.0532358004425126
False,小傷口,15572,30703,1.9716799383508865,3457,9275,2.682962105872144,18.331297596766465,18.313401011058176,0.0178965857082888
False,即時生效,17240,28517,1.6541183294663573,1506,4008,2.661354581673306,18.30040520062227,18.25774801240249,0.0426571882197771
True,美人計,13905,29969,2.155267889248472,4703,16509,3.510312566446949,18.27521361084306,18.23033550584421,0.0448781049988515
False,就是愛,16021,27933,1.7435241245864803,1548,4777,3.0859173126614987,18.07935979627223,18.01787745766616,0.0614823386060713
True,看我72變,13337,27442,2.0575841643548025,3741,12214,3.264902432504678,17.953728339231503,17.913523037019836,0.0402053022116668
False,什麼什麼,12274,24933,2.0313671174841126,3008,8884,2.953457446808511,17.533783906384787,17.507363907136224,0.0264199992485628
True,睜一隻眼閉一隻眼,11347,23580,2.078082312505508,3246,9622,2.9642637091805297,17.36389442836151,17.340100103715734,0.0237943246457781
True,非賣品,13027,20914,1.60543486604744,1068,2958,2.769662921348315,17.270831490607204,17.214741039798273,0.0560904508089311
True,舞孃,10857,23837,2.1955420466058766,3146,11574,3.6789574062301336,17.241407335286127,17.191149317308373,0.0502580179777542
True,Dr. Jolin,10253,21097,2.0576416658538963,3842,11481,2.9882873503383656,17.241002088502775,17.214741039798273,0.0262610487044999
False,心型圈,10996,26102,2.3737722808293924,2422,7477,3.0871180842279107,17.05082851923484,17.037806471405624,0.0130220478292169
True,大丈夫,9195,16591,1.8043501903208263,2515,8459,3.363419483101392,16.626303931372124,16.553155208440867,0.0731487229312588
False,你還愛我嗎,9862,17973,1.82244980734131,1855,4583,2.4706199460916443,16.572730859950493,16.555267140404997,0.0174637195454952
True,Love Love Love,8886,19068,2.145847400405132,2753,8065,2.929531420268798,16.549949078567337,16.531670220821486,0.0182788577458513
False,反覆記號,8779,16665,1.898279986331017,2131,5459,2.561708118254341,16.320972782813172,16.304028716463808,0.0169440663493633
False,什麼樣的愛,9145,15217,1.6639693821760524,1577,3822,2.4235890932149653,16.269794398435582,16.243123047354896,0.0266713510806862
False,我的依賴,8132,15784,1.940973930152484,1938,4799,2.476264189886481,16.035433774014415,16.02424494212078,0.0111888318936352
False,你快樂嗎,8300,13663,1.6461445783132531,1516,3606,2.3786279683377307,15.961096203691328,15.93554144923982,0.0255547544515097
False,招牌動作,7472,13388,1.7917558886509637,2301,6473,2.8131247283789658,15.958703419009844,15.920322632965291,0.0383807860445515
False,愛上了一條街,8016,13478,1.6813872255489022,1584,3860,2.436868686868687,15.884458132134212,15.858484173494483,0.0259739586397255
False,Don't Stop,7129,12342,1.7312386028896058,1971,5032,2.5530187721968542,15.702467451179617,15.674008746111742,0.0284587050678746
False,我依然是你的情人/剪愛,8726,12811,1.468141187256475,269,668,2.483271375464684,15.686226199876913,15.634125234027222,0.0521009658496885
True,特務J,6399,14380,2.2472261290826694,2473,8364,3.382126971289931,15.61839558983302,15.586874026145829,0.0315215636871916
False,今天妳要嫁給我,6637,14199,2.1393701973783337,1511,3960,2.6207809397749835,15.304089585858131,15.29632008360968,0.0077695022484539
False,旅程,5542,10424,1.8809094189823168,2192,6201,2.8289233576642334,15.151105704133672,15.119686971674833,0.0314187324588415
True,Mr. Q,5776,12497,2.163608033240997,1900,5525,2.9078947368421053,15.1107602892183,15.09427370452872,0.0164865846895791
True,開場白,6216,13503,2.1722972972972974,1427,4395,3.0798878766643307,15.102725506794668,15.079738203158788,0.0229873036358818
True,騎士精神,5789,13633,2.354983589566419,1721,5349,3.10807669959326,15.035106097340476,15.020584921301676,0.0145211760387995
True,迷幻,4968,11027,2.219605475040258,2343,8564,3.655142979086641,14.977244529359885,14.930316586552088,0.0469279428077945
False,許願池的希臘少女,5860,11276,1.9242320819112628,1393,4220,3.02943287867911,14.942446678828745,14.903596737994636,0.0388499408341088
False,讓愛傳出去,5579,10161,1.8212941387345405,1252,2974,2.3753993610223643,14.716576867036412,14.703269734479573,0.0133071325568402
True,愛無赦,4181,9773,2.3374790719923464,2094,7382,3.52531041069723,14.45371431471407,14.42187004344716,0.0318442712669112
True,野蠻遊戲,4455,9346,2.0978675645342317,1650,5197,3.14969696969697,14.362564947729448,14.331415979027414,0.0311489687020341
False,電話皇后,4045,8321,2.057107540173053,2024,6234,3.0800395256917,14.342705118349755,14.311975275974069,0.0307298423756904
False,唯舞獨尊,4226,8875,2.100094652153337,1839,4901,2.665035345296357,14.320513721660785,14.30980890078969,0.0107048208710928
False,離人節,5039,8865,1.75927763445128,975,2532,2.596923076923077,14.310679349044689,14.282076183519408,0.0286031655252811
False,我對我,4328,7832,1.8096118299445472,1605,4458,2.777570093457944,14.272224925620623,14.237599307821435,0.0346256177991871
