is_concert,uu.other,pc.other,avg.other,uu.core,pc.core,avg.core,r,u,a,_is_concert,_uu.other,_pc.other,_avg.other,_uu.core,_pc.core,_r,_u,_a
FALSE,38571,85792,2.224261751,9555,30133,3.153636839,21.94767066,21.92468028,0.022990379,FALSE,38571,85792,2.224261751,9555,30133,21.94767066,21.92468028,0.022990379
TRUE,35963,89231,2.481189,10518,40819,3.880870888,21.82120083,21.78346025,0.037740579,TRUE,35963,89231,2.481189,10518,40819,21.82120083,21.78346025,0.037740579
TRUE,35985,70744,1.965930249,9638,31221,3.239365013,21.7550361,21.70799405,0.047042045,TRUE,35985,70744,1.965930249,9638,31221,21.7550361,21.70799405,0.047042045
FALSE,37350,76788,2.055903614,8228,22940,2.788040836,21.72150294,21.70400061,0.017502332,FALSE,37350,76788,2.055903614,8228,22940,21.72150294,21.70400061,0.017502332
TRUE,34849,71525,2.052426182,9968,35236,3.534911717,21.69166837,21.63591995,0.055748417,TRUE,34849,71525,2.052426182,9968,35236,21.69166837,21.63591995,0.055748417
FALSE,34954,69159,1.978571837,8124,24107,2.967380601,21.50730788,21.47632434,0.030983544,FALSE,34954,69159,1.978571837,8124,24107,21.50730788,21.47632434,0.030983544
FALSE,32805,73268,2.233440024,8959,27286,3.045652417,21.36995765,21.35181193,0.018145718,FALSE,32805,73268,2.233440024,8959,27286,21.36995765,21.35181193,0.018145718
FALSE,31111,64746,2.081128861,10288,33651,3.270898134,21.35515569,21.31659528,0.03856041,FALSE,31111,64746,2.081128861,10288,33651,21.35515569,21.31659528,0.03856041
TRUE,29849,63514,2.127843479,9382,33734,3.595608612,21.15333862,21.10143087,0.051907754,TRUE,29849,63514,2.127843479,9382,33734,21.15333862,21.10143087,0.051907754
FALSE,31555,59090,1.872603391,7708,22186,2.878308251,21.13953793,21.10468421,0.034853715,FALSE,31555,59090,1.872603391,7708,22186,21.13953793,21.10468421,0.034853715
TRUE,29773,56632,1.902126087,9061,28374,3.131442446,21.10774241,21.06086794,0.046874472,TRUE,29773,56632,1.902126087,9061,28374,21.10774241,21.06086794,0.046874472
FALSE,31769,65097,2.049072996,7089,21287,3.002821272,21.09087747,21.06333075,0.027546723,FALSE,31769,65097,2.049072996,7089,21287,21.09087747,21.06333075,0.027546723
FALSE,30087,55700,1.851297903,7209,20202,2.80233042,20.93251128,20.90009578,0.032415493,FALSE,30087,55700,1.851297903,7209,20202,20.93251128,20.90009578,0.032415493
TRUE,25142,47091,1.873001352,9226,29814,3.231519618,20.63280225,20.57669547,0.056106784,TRUE,25142,47091,1.873001352,9226,29814,20.63280225,20.57669547,0.056106784
FALSE,26120,46519,1.780972435,7698,22780,2.959210184,20.56180934,20.51318088,0.04862846,FALSE,26120,46519,1.780972435,7698,22780,20.56180934,20.51318088,0.04862846
FALSE,26736,55350,2.07024237,4986,14345,2.877055756,20.28267505,20.2622469,0.020428152,FALSE,26736,55350,2.07024237,4986,14345,20.28267505,20.2622469,0.020428152
FALSE,24798,44261,1.784861682,6102,16318,2.674205179,20.19055905,20.15972715,0.030831904,FALSE,24798,44261,1.784861682,6102,16318,20.19055905,20.15972715,0.030831904
FALSE,23686,51409,2.170438234,7244,20882,2.882661513,20.17870146,20.16351183,0.01518963,FALSE,23686,51409,2.170438234,7244,20882,20.17870146,20.16351183,0.01518963
FALSE,24289,57636,2.372926016,6492,20188,3.109673444,20.15847176,20.14468182,0.013789943,FALSE,24289,57636,2.372926016,6492,20188,20.15847176,20.14468182,0.013789943
FALSE,23120,42459,1.836461938,6986,19971,2.858717435,20.09526993,20.05833321,0.036936727,FALSE,23120,42459,1.836461938,6986,19971,20.09526993,20.05833321,0.036936727
TRUE,21432,41571,1.939669653,6979,23460,3.361513111,19.89057099,19.83354218,0.057028802,TRUE,21432,41571,1.939669653,6979,23460,19.89057099,19.83354218,0.057028802
FALSE,21098,43861,2.078917433,7178,21469,2.990944553,19.84007685,19.81512197,0.024954875,FALSE,21098,43861,2.078917433,7178,21469,19.84007685,19.81512197,0.024954875
TRUE,20656,37375,1.809401627,5062,15332,3.028842355,19.50025243,19.45019209,0.050060345,TRUE,20656,37375,1.809401627,5062,15332,19.50025243,19.45019209,0.050060345
FALSE,18801,37233,1.980373384,6524,18324,2.808706315,19.41427866,19.39124779,0.02303087,FALSE,18801,37233,1.980373384,6524,18324,19.41427866,19.39124779,0.02303087
FALSE,17356,38373,2.210935699,7612,26156,3.436153442,19.37365478,19.33698389,0.036670885,FALSE,17356,38373,2.210935699,7612,26156,19.37365478,19.33698389,0.036670885
TRUE,19195,31784,1.655847877,5573,15279,2.74161134,19.35423221,19.30627758,0.047954628,TRUE,19195,31784,1.655847877,5573,15279,19.35423221,19.30627758,0.047954628
TRUE,17864,35593,1.992442902,7001,20142,2.877017569,19.34665626,19.32119794,0.025458318,TRUE,17864,35593,1.992442902,7001,20142,19.34665626,19.32119794,0.025458318
